date,niveau_eau_E30_102,niveau_eau_E30_X102,conductivite_E30_224,temperature_E30_X222,temperature_E30_201,niveau_eau_E30_116,niveau_eau_E30_X211,oxygene_dissous_Exutoire_0368
20220306,13.1,3.2,8.1,3.1,6.6,0.3,2.13,12865
20220307,12.8,-0.1,6.3,2.6,6,0,2.05,15734
20220308,12.9,2.4,7.6,3.6,6.17,0,2.4,17092
20220309,13.8,4,8.9,3,6.17,0,2.49,17411
20220310,15.1,2.8,8.9,2.1,7.13,0.1,2.29,19015
20220311,15.4,1.8,8.6,4.5,9.1,0,2.21,18736
20220312,14.8,7.7,11.2,5.5,8.4,0,2.52,11609
20220313,11.8,9.5,10.6,5.4,11.7,6.2,0.84,2081
20220314,16.9,11.3,14.1,5.2,13.6,0,1.64,6882
20220315,14.7,12.5,13.6,8.2,12.9,0,1.56,2075
20220316,15.3,12.7,14,9,13,0,1.87,4721
20220317,17.7,12.4,15,7.3,11.5,0.1,3.09,9965
20220318,13.8,13.1,13.4,5.9,11.1,14.9,1.93,1002
20220319,12.7,10,11.3,7.8,10.7,16.7,1.62,2460
20220320,13.9,8.9,11.4,5.1,10.4,2.4,2.03,11024
20220321,13.8,2,7.9,4.7,7.2,0,2.65,18832
20220322,15.2,-2.8,6.2,3.5,6.7,0,2.67,21519
20220323,17.3,-0.8,8.2,3.4,7,0.1,3.07,21713
20220324,19.4,1.4,10.4,4.3,6.4,0,3.99,21905
20220325,17,5.9,11.4,6.6,9.4,0,3.21,19082
20220326,15.9,10.7,13.3,6.7,7.6,0.1,3.97,12957
20220327,20.3,12.9,16.6,5.6,7.6,0,5.08,17716
20220328,21.1,4.5,12.8,2.4,8.1,0,3.6,22669
20220329,18.6,2.5,10.5,4.4,10.4,8.6,2.96,22859
20220330,16.9,11.7,14.3,2.7,14.17,3.9,1.43,6943
20220331,16.9,13.1,15,8,12.9,0,2.61,9509
20220401,14.9,12.1,13.5,11.2,8.8,4.1,4.04,9625
20220402,11.8,5.8,8.8,7.9,7.49,7.4,2.57,9827
20220403,12.9,5.3,9.1,6.2,7.7,0,2.81,17013
20220404,15.4,1.5,8.4,2.9,7.9,0,2.66,19787
20220405,17.3,-1.4,7.9,2.8,8.1,0,2.99,24156
20220406,12.7,6.4,9.5,3.4,10.13,4,1.56,9893
20220407,18.5,7.9,13.2,9.3,12,0,3.18,20190
20220408,19.9,13,16.4,8.6,14.4,0,3.2,14710
20220409,17.5,13.5,15.5,9.2,10.2,0,4.53,17193
20220410,16.6,6.7,11.6,3.5,7.8,0,3.62,23860
20220411,17.5,1,9.2,5.9,8.4,0,3.56,25221
20220412,17.5,7.9,12.7,5.7,11.1,0,3.11,20615
20220413,18.3,12.9,15.6,6.9,11.6,0,3.9,18394
20220414,21.2,11,16.1,5.4,8.7,0,5.06,20921
20220415,24.2,10.5,17.3,2.9,9,0.1,4.94,25239
20220416,23.7,2.8,13.2,3.9,10.7,0,4.4,26069
20220417,18.3,9.7,14,4.8,7.6,0,4.69,23843
20220418,18.3,6.9,12.6,3.8,8.57,0,3.98,24979
20220419,20.9,3.3,12.1,4.4,10.3,0,4.03,26557
20220420,19.3,8.1,13.7,5.8,12.4,1.4,3.25,20512
20220421,17,12.2,14.6,6.8,13,33.6,2.61,12305
20220422,19.7,10.9,15.3,5.7,13.7,0,2.91,14796
20220423,21.8,10.7,16.2,6,13.3,0,4.26,23896
20220424,17.7,12.6,15.1,8,13.1,0.8,2.61,8016
